Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,126614,University of Colorado Boulder,00137000,1,Main Campus,33010,2,48,486
2009,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,23715,0,2,1
2009,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,23715,0,0,0
2009,127060,University of Denver,00137100,1,University Park Campus,11644,0,0,0
2009,127741,University of Northern Colorado,00134900,1,Main Campus,12711,0,6,5
2009,128391,Western Colorado University,00137200,1,Main Campus,2237,0,0,0
2010,126182,Adams State University,00134500,1,Adams State University,3237,0,0,0
2010,126207,Aims Community College,00758200,1,Greeley Campus,5340,0,0,0
2010,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2733,0,0,0
2010,126678,Colorado College,00134700,1,Colorado College,2091,0,0,0
2010,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,8130,0,0,0
2010,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,8130,0,0,0
2010,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6088,0,0,0
2010,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1450,0,0,0
2010,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30155,0,0,11
2010,128179,Intellitec College-Colorado Springs,02253700,1,IntelliTec College - Colorado Springs,569,0,0,0
2010,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),23948,0,0,0
2010,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1965,0,0,0
2010,127653,Naropa University,02117500,1,Arapahoe Campus,1065,0,0,0
2010,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2214,0,0,0
2010,128151,Pickens Technical College,01287500,1,Pickens Technical College,1195,0,0,0
2010,127918,Regis University,00136300,1,Northwest Denver Campus,11069,0,0,0
2010,454689,Taft University System,04100400,1,Main campus - The Taft University System,217,0,0,0
