Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2006,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5508,0,0,1,,,0,,,0,0,0,0,0
2006,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1338,0,0,0,,,0,,,0,0,0,0,0
2006,126775,Colorado School of Mines,00134800,1,Main Campus,4357,0,0,0,,,0,,,0,0,4,0,1
2006,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6205,0,0,0,,,0,,,0,0,0,0,1
2006,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27636,0,0,4,,,0,,,0,1,4,0,1
2006,126979,Denver Seminary,00135200,1,Main Campus,826,0,0,0,,,0,,,0,0,4,0,0
2006,127185,Fort Lewis College,00135300,1,Main Campus,3905,0,0,1,,,0,,,0,1,21,0,1
2006,127273,Iliff School of Theology,00135400,1,Main Campus,317,0,0,0,,,0,,,0,0,0,0,0
2006,127389,Lamar Community College,00135500,1,Lamar Community College,999,0,0,0,,,0,,,0,0,0,0,0
2006,127653,Naropa University,02117500,1,Arapahoe Campus,1107,0,0,1,,,0,,,0,0,0,0,0
2006,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2537,0,0,0,,,0,,,0,0,1,0,0
2006,127778,Otero Junior College,00136200,1,Main Campus,1631,0,0,0,,,0,,,0,1,2,0,0
2006,127918,Regis University,00136300,1,Northwest Denver Campus,11388,0,0,0,,,0,,,0,1,1,0,0
2006,128258,Trinidad State College,00136800,1,Trinidad Campus,1732,0,0,0,,,0,,,2,0,1,0,0
2006,126614,University of Colorado Boulder,00137000,1,Main Campus,31665,0,0,5,,,0,,,1,5,42,0,6
