Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2012,127273,Iliff School of Theology,00135400,1,Main Campus,343,0,0,1
2012,127389,Lamar Community College,00135500,1,Lamar Community College,916,0,0,0
2012,127653,Naropa University,02117500,1,Arapahoe Campus,1019,0,0,0
2012,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1971,0,6,25
2012,127778,Otero Junior College,00136200,1,Main Campus,1456,0,0,2
2012,127918,Regis University,00136300,1,Northwest Denver Campus,10683,0,0,0
2012,128258,Trinidad State College,00136800,1,Trinidad Campus,1691,0,0,18
2012,126614,University of Colorado Boulder,00137000,1,Main Campus,31945,0,212,408
2012,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,10612,0,26,21
2012,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22396,0,0,0
2012,127060,University of Denver,00137100,1,University Park Campus,11656,0,5,11
2012,127741,University of Northern Colorado,00134900,1,Main Campus,13070,0,55,110
2012,128391,Western Colorado University,00137200,1,Main Campus,2301,0,23,9
2013,126182,Adams State University,00134500,1,Adams State University,3211,0,46,4
2013,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,5368,0,0,0
2013,126678,Colorado College,00134700,1,Colorado College,2061,0,2,5
2013,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9676,0,33,24
2013,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5893,0,0,0
2013,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1138,0,0,1
2013,126775,Colorado School of Mines,00134800,1,Main Campus,5790,0,2,5
2013,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7089,0,11,47
2013,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,31186,0,31,77
2013,126979,Denver Seminary,00135200,1,Main Campus,990,0,0,0
2013,127185,Fort Lewis College,00135300,1,Main Campus,4021,0,27,50
2013,127273,Iliff School of Theology,00135400,1,Main Campus,349,0,0,0
2013,127389,Lamar Community College,00135500,1,Lamar Community College,902,0,0,0
2013,127653,Naropa University,02117500,1,Arapahoe Campus,992,0,0,0
2013,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),1962,1,2,46
2013,127778,Otero Junior College,00136200,1,Main Campus,1449,0,1,1
2013,127918,Regis University,00136300,1,Northwest Denver Campus,9722,0,0,0
2013,128258,Trinidad State College,00136800,1,Trinidad Campus,1791,0,0,3
2013,126614,University of Colorado Boulder,00137000,1,Main Campus,32017,0,104,139
2013,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,11321,0,17,14
2013,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22206,1,0,0
2013,127060,University of Denver,00137100,1,University Park Campus,11778,0,5,4
2013,127741,University of Northern Colorado,00134900,1,Main Campus,12710,0,44,62
2013,128391,Western Colorado University,00137200,1,Main Campus,2404,0,15,14
2014,126182,Adams State University,00134500,1,Adams State University,3154,1,19,16
2014,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,5787,0,0,0
2014,126678,Colorado College,00134700,1,Colorado College,2067,0,6,4
2014,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9116,0,40,43
